"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-02-22","1.5"," 1523"," 1523","0.0","0.0","0.0","5.0","12.2","-2.8",,"  120","  120","6.7","8.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-02-23","1.5"," 1445"," 1424","0.0","0.0","0.0","6.7","15.0","-2.2",,"  230","  230","6.7","8.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-02-24","1.4"," 1302"," 1300","0.0","0.0","0.0","11.1","21.1","1.1",,"  210","  190","5.8","7.6"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-02-25","2.7"," 2207"," 2342","0.0","0.0","0.0","15.6","26.1","4.4",,"   80","   60","9.8","10.7"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-02-26","4.1"," 2359"," 0031","0.0","0.0","0.0","6.7","7.8","5.6",,"   70","   60","9.4","10.3"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-02-27","3.0"," 2218"," 2217","15.7","0.0","0.0","11.1","16.1","6.1",,"  260","  270","10.7","15.2"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-02-28","5.2"," 1348"," 1348","4.1","0.0","0.0","8.9","13.3","4.4",,"  270","  260","13.9","16.5"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-02-29","2.3"," 1013"," 1012","0.0","0.0","0.0","8.3","16.7","-0.6",,"  310","  320","6.7","8.9"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-03-01","1.5"," 1146"," 2332","0.0","0.0","0.0","7.8","16.1","-0.6",,"  120","  250","5.8","7.2"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-03-02","7.6"," 1728"," 1726","0.0","0.0","0.0","8.3","13.3","3.3",,"  280","  300","13.0","16.5"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-03-03","5.5"," 0930"," 0926","0.0","0.0","0.0","6.1","11.7","0.6",,"  280","  300","9.8","12.5"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-03-04","2.2"," 1347"," 1347","0.0","0.0","0.0","6.1","13.3","-1.7",,"  250","  250","7.2","9.4"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-03-05","4.9"," 1326"," 1337","0.0","0.0","0.0","11.1","18.9","3.3",,"  270","  310","12.5","15.2"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-03-06","2.5"," 1237"," 1237","0.0","0.0","0.0","7.2","14.4","-0.6",,"  360","  350","8.0","10.3"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-03-07","2.0"," 1320"," 1330","0.0","0.0","0.0","10.0","21.1","-1.7",,"  230","  200","7.2","8.9"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-03-08","3.3"," 1416"," 1417","0.0","0.0","0.0","20.0","28.3","11.1",,"  260","  260","9.4","11.6"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-03-09","3.0"," 2302"," 2226","0.0","0.0","0.0","16.1","25.6","6.1",,"  290","  320","8.0","10.3"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-03-10","4.4"," 1119"," 0026","0.0","0.0","0.0","15.0","20.6","9.4",,"  300","  290","7.6","11.2"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-03-11","4.4"," 0941"," 0939","6.4","0.0","0.0","11.7","13.3","9.4",,"   70","   80","9.8","11.2"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-03-12","6.6"," 1442"," 1406","3.3","0.0","0.0","5.6","10.0","0.6",,"  300","  310","13.4","17.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-03-13","2.4"," 2357"," 0941","0.0","0.0","0.0","3.3","9.4","-2.8",,"  320","  350","6.7","8.9"
