"date_site","date","sites","temp_95","wb_temp_95","heat_index_95","rel_hum_95","temp_max","wb_temp_max","heat_index_max","rel_hum_max","temp_mn","wb_temp_mn","heat_index_mn","rel_hum_mn","temp_05","wb_temp_05","heat_index_05","rel_hum_05","habitat","location","date_orig","month","day","year","ext_95"
"2024-06-21_Open_SMO9",2024-06-21,"Open_SMO9",35.7583333333333,23.95,38.2222222222222,96.155,36.1666666666667,24.2222222222222,39.8888888888889,96.6,30.2512345679012,22.6882716049383,32.7777777777778,55.6988888888889,20.0388888888889,19.625,20.9277777777778,35.445,"open","urban","2024-06-21",6,21,2024,1
"2024-06-21_Open1_SLO1",2024-06-21,"Open1_SLO1",34.475,25.7027777777778,40.4,100,35.3888888888889,26.1111111111111,42.6111111111111,100,29.412962962963,23.437037037037,32.7777777777778,62.9977777777778,19.9277777777778,19.9277777777778,20.8972222222222,45.99,"open","urban","2024-06-21",6,21,2024,0
"2024-06-21_SweetHope_SH4",2024-06-21,"SweetHope_SH4",34.3888888888889,23.2777777777778,37.2222222222222,85.525,35.4444444444444,24.2777777777778,38.2222222222222,87.3,29.8253086419753,22.1969135802469,31.8345679012346,54.4655555555556,21.8416666666667,20.1,22.6138888888889,35.425,"open","urban","2024-06-21",6,21,2024,0
"2024-06-22_Classroom_SMC7",2024-06-22,"Classroom_SMC7",34.7833333333333,25.6111111111111,40.2222222222222,93.455,35.0555555555556,25.7777777777778,41.1111111111111,94.2,30.6537037037037,24.3333333333333,35.0197530864198,61.9777777777778,22.6555555555556,21.9388888888889,24.1,45.105,"forest","urban","2024-06-22",6,22,2024,1
"2024-06-22_Forest3_SLR3",2024-06-22,"Forest3_SLR3",35.6833333333333,26,42.6527777777778,84.92,36.4444444444444,26.6111111111111,43.8888888888889,86,30.1413580246914,24.1950617283951,34.4166666666667,63.0833333333333,22.9944444444444,21.2222222222222,24.1,46.39,"forest","urban","2024-06-22",6,22,2024,1
"2024-06-22_NEON007_N7",2024-06-22,"NEON007_N7",34.925,25.7222222222222,41.1722222222222,85.115,35.4444444444444,26,41.7222222222222,95.6,31.2111111111111,24.4086419753086,35.7117283950617,59.0566666666667,24.2888888888889,22.3777777777778,25.7638888888889,46.39,"open","exurban","2024-06-22",6,22,2024,1
"2024-06-22_NEON019_N19",2024-06-22,"NEON019_N19",31.3333333333333,27.7527777777778,41.1027777777778,98.41,31.7222222222222,27.8888888888889,41.8888888888889,99.2,27.6234567901235,25.4197530864198,33.187037037037,84.68,21.5805555555556,21.3277777777778,22.7472222222222,75.3,"forest","exurban","2024-06-22",6,22,2024,0
"2024-06-22_Open_SMO9",2024-06-22,"Open_SMO9",37.5305555555556,25.7027777777778,43.2777777777778,94.45,38.1666666666667,26.2222222222222,45.1111111111111,95.4,32.6944444444444,24.4067901234568,37.1518518518519,53.88,22.7416666666667,22.05,24.2361111111111,36.945,"open","urban","2024-06-22",6,22,2024,1
"2024-06-22_Open1_SLO1",2024-06-22,"Open1_SLO1",36.1666666666667,26.6722222222222,44.2222222222222,94.34,37.1666666666667,27,45.2777777777778,97.5,31.3475308641975,24.8364197530864,36.4654320987654,61.2411111111111,22.4416666666667,21.7361111111111,23.7138888888889,44.88,"open","urban","2024-06-22",6,22,2024,1
"2024-06-22_SweetHope_SH4",2024-06-22,"SweetHope_SH4",36.6472222222222,25.7222222222222,42.1027777777778,82.595,37.7777777777778,26.2777777777778,44.3888888888889,85.5,32.0314814814815,24.012962962963,35.9913580246914,53.92,24.1055555555556,21.8888888888889,25.3277777777778,37.99,"open","urban","2024-06-22",6,22,2024,1
