"sites","date","temp_95","wb_temp_95","heat_index_95","rel_hum_95","temp_max","wb_temp_max","heat_index_max","rel_hum_max","temp_mn","wb_temp_mn","heat_index_mn","rel_hum_mn","temp_05","wb_temp_05","heat_index_05","rel_hum_05","habitat","location"
"Overlook_SMO6",2024-06-10,28.5972222222222,18.6722222222222,27.9,65.1,29.2777777777778,19.1111111111111,28.7777777777778,66.8,23.95,16.4895061728395,23.1524691358025,48.1933333333333,17.4388888888889,13.575,16.4388888888889,37.89,"open","urban"
"Pool_SMP11",2024-06-10,24.9194444444444,18,24.1722222222222,72.31,26,18.5,25.7222222222222,73.2,21.9444444444444,16.3333333333333,21.4611111111111,57.59,16.8027777777778,13.55,16,48.29,"forest","urban"
"Classroom_SMC7",2024-06-11,21,15.5111111111111,20.5611111111111,70.7,21.6111111111111,15.7777777777778,21.3888888888889,71.6,19.5358024691358,14.6617283950617,18.8253086419753,60.0888888888889,16.9138888888889,13.6361111111111,16.2222222222222,52.98,"forest","urban"
"Open_SMO9",2024-06-11,23.1972222222222,15.8388888888889,22.3888888888889,69.81,23.8888888888889,16.3888888888889,23,72.1,20.4672839506173,14.8092592592593,19.7425925925926,55.67,16.8027777777778,13.5,16,43.315,"open","urban"
"Overlook_SMO6",2024-06-11,24.5305555555556,16.8888888888889,23.6222222222222,70.81,25.1666666666667,17.2222222222222,24.2222222222222,72,21.1092592592593,15.3333333333333,20.379012345679,55.7455555555556,17.075,13.8888888888889,16.3277777777778,43.935,"open","urban"
"Pool_SMP11",2024-06-11,21,15.7277777777778,20.6722222222222,73.6,21.2222222222222,16,21,75.3,19.412962962963,15.0148148148148,18.8351851851852,63.6088888888889,16.8333333333333,13.8277777777778,16.2472222222222,55.6,"forest","urban"
"Classroom_SMC7",2024-06-12,25.0861111111111,17.7222222222222,24.1722222222222,82.52,25.4444444444444,18,24.5,84.7,21.9740740740741,16.2555555555556,21.4413580246914,57.3944444444444,15.5138888888889,13.6861111111111,15.3777777777778,44.935,"forest","urban"
"Open_SMO9",2024-06-12,27.1416666666667,17.7222222222222,25.95,88.25,27.6666666666667,18,26.5,90,23.3685185185185,16.3753086419753,22.6043209876543,51.5588888888889,14.6555555555556,13.4888888888889,14.7472222222222,37.845,"open","urban"
"Overlook_SMO6",2024-06-12,27.7277777777778,18.5111111111111,26.95,85.12,28.2777777777778,19.1111111111111,27.6111111111111,88,23.6234567901235,16.6055555555556,22.8827160493827,51.26,15.2055555555556,13.7166666666667,15.125,38.945,"open","urban"
"Pool_SMP11",2024-06-12,24.1777777777778,18.2222222222222,23.8388888888889,91.51,24.5555555555556,19,24.1111111111111,92.4,21.1327160493827,16.5376543209877,20.9456790123457,64.7522222222222,14.2666666666667,13.4277777777778,14.5388888888889,51.625,"forest","urban"
"Classroom_SMC7",2024-06-13,29.0555555555556,23.2222222222222,31.7222222222222,95.41,29.3333333333333,23.2777777777778,32,96.3,25.3765432098765,21.4012345679012,26.991975308642,72.0311111111111,17.6805555555556,17.2972222222222,18.2361111111111,59.05,"forest","urban"
"Open_SMO9",2024-06-13,31.4055555555556,23.5611111111111,34.5527777777778,97.92,32.3888888888889,23.7777777777778,36.1111111111111,98.9,26.6444444444444,21.4462962962963,28.3407407407407,65.6533333333333,17.5083333333333,17.2972222222222,18.175,48.67,"open","urban"
"Overlook_SMO6",2024-06-13,31.1166666666667,23.0611111111111,33.7527777777778,95.385,31.7777777777778,24.1111111111111,35.7777777777778,96.5,26.7104938271605,21.2876543209877,28.241975308642,64.06,17.9833333333333,17.4277777777778,18.4888888888889,47.96,"open","urban"
"Pool_SMP11",2024-06-13,28.1416666666667,23.5611111111111,30.7527777777778,98.8,28.6111111111111,24.1111111111111,32.1111111111111,99.2,24.4024691358025,21.5154320987654,26.0598765432099,78.93,17.2166666666667,17.1611111111111,17.8277777777778,64.21,"forest","urban"
"Classroom_SMC7",2024-06-14,29.5861111111111,22.3888888888889,30.7777777777778,98.955,29.9444444444444,22.8888888888889,31.6111111111111,99.6,26.3685185185185,21.1641975308642,27.4691358024691,65.5366666666667,19.9083333333333,19.7972222222222,20.7972222222222,46.48,"forest","urban"
"Open_SMO9",2024-06-14,33.0861111111111,22.6111111111111,34.5,100,33.9444444444444,22.7777777777778,35,100,27.9283950617284,21.2395061728395,29.0820987654321,58.8577777777778,19.6611111111111,19.6611111111111,20.6611111111111,35.47,"open","urban"
"Overlook_SMO6",2024-06-14,32.7083333333333,22.8888888888889,35.1222222222222,99.775,33.8333333333333,23.6111111111111,36,100,28.0413580246914,21.4,29.3388888888889,58.7966666666667,20.0138888888889,19.8277777777778,20.9277777777778,37.47,"open","urban"
"Pool_SMP11",2024-06-14,28.6416666666667,22.6111111111111,30.2027777777778,100,29.3333333333333,22.8888888888889,31.3888888888889,100,25.2302469135802,21.5679012345679,26.6123456790123,74.4466666666667,19.4944444444444,19.4388888888889,20.4388888888889,54.12,"forest","urban"
"Classroom_SMC7",2024-06-15,26.6777777777778,18.2222222222222,25.5666666666667,95.86,27,18.3888888888889,25.7777777777778,98,23.8533083645443,17.2983770287141,23.2952559300874,54.8123595505618,18.5444444444444,15.9333333333333,19.1777777777778,38.14,"forest","urban"
"Open_SMO9",2024-06-15,29.4444444444444,18.7222222222222,28.4,99.22,29.7777777777778,19.7222222222222,29.6111111111111,100,25.0407407407407,17.5808641975309,24.4086419753086,51.1511111111111,18.075,15.3888888888889,18.7472222222222,33.39,"open","urban"
"Overlook_SMO6",2024-06-15,30.425,19.5,30.1222222222222,99.865,30.8333333333333,20,30.5,100,25.5395061728395,17.9746913580247,25.0450617283951,51.0666666666667,18.2166666666667,15.3777777777778,19.0388888888889,33.935,"open","urban"
"Pool_SMP11",2024-06-15,26.45,18.5611111111111,25.7222222222222,100,26.6111111111111,18.7777777777778,25.8888888888889,100,23.2246913580247,17.7191358024691,22.962962962963,61.0422222222222,17.9444444444444,15.9388888888889,18.7222222222222,43.215,"forest","urban"
"Classroom_SMC7",2024-06-16,27.2777777777778,18.95,26.7527777777778,75.305,27.5555555555556,19.1111111111111,27.2222222222222,77.9,24.187037037037,17.4617283950617,23.6753086419753,52.8488888888889,16.8777777777778,14.2777777777778,16.3777777777778,42.245,"forest","urban"
"Open_SMO9",2024-06-16,29.5666666666667,19.3888888888889,29.0611111111111,80.455,30.3888888888889,20.2777777777778,30.6111111111111,82.4,25.4759259259259,17.7802469135802,24.9179012345679,48.9333333333333,16.4583333333333,14.4277777777778,16.2861111111111,36.79,"open","urban"
"Overlook_SMO6",2024-06-16,29.8805555555556,19.8388888888889,29.5111111111111,71.765,30.8333333333333,20.3888888888889,31,76.9,25.7716049382716,17.6456790123457,25.1018518518519,46.4122222222222,17.2972222222222,14.1666666666667,16.6611111111111,35.6,"open","urban"
"Pool_SMP11",2024-06-16,26.8888888888889,19.3888888888889,26.7777777777778,82.42,27.1666666666667,20,27.2222222222222,83.4,23.241975308642,17.8475308641975,23.0901234567901,60.7144444444444,16.1916666666667,14.4388888888889,16.1611111111111,48.2,"forest","urban"
"Classroom_SMC7",2024-06-17,30.3388888888889,24,34,77.61,30.6666666666667,24.2777777777778,34.1111111111111,79.8,26.5456790123457,21.7055555555556,28.5006172839506,66.4122222222222,19.9944444444444,17.3277777777778,20.05,56.845,"forest","urban"
"Open_SMO9",2024-06-17,32.2055555555556,24.2777777777778,35.7222222222222,74.185,32.7222222222222,24.7222222222222,37.2222222222222,75.5,27.7896825396825,21.7466931216931,29.7982804232804,60.1428571428571,20.2861111111111,17.1277777777778,20.2472222222222,48.445,"open","urban"
"Overlook_SMO6",2024-06-17,31.9361111111111,24.1111111111111,35.6111111111111,72.8,33.0555555555556,24.3888888888889,37.2777777777778,73.4,27.5388888888889,21.4376543209877,29.2506172839506,59.5744444444444,20.5194444444444,17.1861111111111,20.55,47.545,"open","urban"
"Pool_SMP11",2024-06-17,29.4,24.45,33.3138888888889,86.375,29.6666666666667,24.8888888888889,34.1111111111111,87.7,25.6512345679012,21.9469135802469,27.7240740740741,73.3633333333333,18.9944444444444,17.2777777777778,19,62.5,"forest","urban"
"Classroom_SMC7",2024-06-18,30.5305555555556,24.2777777777778,34.3888888888889,84.605,30.6666666666667,25,35.7777777777778,87,27.3623456790123,22.3006172839506,29.6253086419753,65.8433333333333,21.4833333333333,19.6,22.175,55.145,"forest","urban"
"Open_SMO9",2024-06-18,32.7777777777778,24.7527777777778,37.4972222222222,82.05,33.5,25.2777777777778,39.7222222222222,84.7,28.7246913580247,22.3956790123457,31.1666666666667,59.4666666666667,21.8777777777778,19.6611111111111,22.5638888888889,49.945,"open","urban"
"Overlook_SMO6",2024-06-18,32.5861111111111,24.7222222222222,37.2027777777778,80.26,32.8333333333333,25.2222222222222,38.6111111111111,83.8,28.7469135802469,22.2827160493827,31.0549382716049,58.64,22.1555555555556,19.7222222222222,22.8777777777778,48.235,"open","urban"
"Pool_SMP11",2024-06-18,29.5,24.5611111111111,33.7777777777778,92.165,29.6666666666667,24.7222222222222,34.2222222222222,93,26.2746913580247,22.6382716049383,28.7413580246914,74.2555555555556,20.55,19.7472222222222,21.2472222222222,65.48,"forest","urban"
"Classroom_SMC7",2024-06-19,29.7527777777778,22.6722222222222,31.6722222222222,93.72,29.9444444444444,23.1111111111111,32.5,94.4,26.5481481481481,20.6111111111111,27.329012345679,61.0711111111111,20.4027777777778,18.2777777777778,21.175,37.335,"forest","urban"
"Open_SMO9",2024-06-19,32.3083333333333,23.1722222222222,34.9361111111111,96.33,32.9444444444444,24,36.1111111111111,97.5,28.0030864197531,20.7716049382716,28.9172839506173,55.18,20.1666666666667,18.2472222222222,21,32.58,"open","urban"
"Overlook_SMO6",2024-06-19,32.2777777777778,23.1722222222222,34.95,94.125,33.2222222222222,23.6111111111111,35.3888888888889,95.8,28.2635802469136,20.7012345679012,29.0956790123457,53.4611111111111,20.5583333333333,18.1611111111111,21.3972222222222,31.545,"open","urban"
"Pool_SMP11",2024-06-19,29.1111111111111,23,31,97.155,29.3333333333333,23.2777777777778,31.2222222222222,97.8,25.7012345679012,20.9993827160494,26.7956790123457,67.7866666666667,19.8277777777778,18.8472222222222,20.675,46.405,"forest","urban"
"Classroom_SMC7",2024-06-20,30.1111111111111,23.0611111111111,32.7527777777778,95.165,30.6666666666667,23.2222222222222,33.2777777777778,95.7,26.9993827160494,21.929012345679,28.7907407407407,66.2355555555555,19.8472222222222,19.3472222222222,20.6,53.635,"forest","urban"
"Open_SMO9",2024-06-20,32.2222222222222,23.2222222222222,34.95,96.855,33.5555555555556,23.7777777777778,36.8888888888889,97.5,28.2333333333333,21.8604938271605,29.9765432098765,59.8277777777778,19.7666666666667,19.3777777777778,20.5638888888889,43.79,"open","urban"
"Overlook_SMO6",2024-06-20,33.1416666666667,23.7222222222222,36.5722222222222,94.16,34.2222222222222,24.1111111111111,38.2222222222222,96,28.4864197530864,21.8666666666667,30.2685185185185,58.4588888888889,20.15,19.4888888888889,20.9277777777778,43.345,"open","urban"
"Pool_SMP11",2024-06-20,29.5861111111111,23.5,32.5611111111111,97.22,30.0555555555556,23.6111111111111,33.2222222222222,98.1,26.0679012345679,22.1314814814815,27.9672839506173,72.7444444444444,19.5194444444444,19.2472222222222,20.3472222222222,58.19,"forest","urban"
"Classroom_SMC7",2024-06-21,32.8333333333333,23.8888888888889,35.7777777777778,94.175,33.1111111111111,24.2222222222222,37.3888888888889,94.8,28.8043209876543,22.641975308642,31.320987654321,61.6066666666667,20.1305555555556,19.55,20.8777777777778,42.89,"forest","urban"
"Open_SMO9",2024-06-21,35.7583333333333,23.95,38.2222222222222,96.155,36.1666666666667,24.2222222222222,39.8888888888889,96.6,30.2512345679012,22.6882716049383,32.7777777777778,55.6988888888889,20.0388888888889,19.625,20.9277777777778,35.445,"open","urban"
"Overlook_SMO6",2024-06-21,36.7277777777778,24.2527777777778,40.5,93.375,37.3333333333333,24.8888888888889,41.8888888888889,94.7,30.6648148148148,22.7450617283951,33.2493827160494,54.0644444444444,20.4527777777778,19.7361111111111,21.1138888888889,34.18,"open","urban"
"Pool_SMP11",2024-06-21,32.0666666666667,24.2777777777778,35.6111111111111,96.81,32.6111111111111,24.7777777777778,36.5,97.9,27.808024691358,22.8179012345679,30.4611111111111,67.7733333333333,19.7472222222222,19.4388888888889,20.5,47.725,"forest","urban"
"Classroom_SMC7",2024-06-22,34.7833333333333,25.6111111111111,40.2222222222222,93.455,35.0555555555556,25.7777777777778,41.1111111111111,94.2,30.6537037037037,24.3333333333333,35.0197530864198,61.9777777777778,22.6555555555556,21.9388888888889,24.1,45.105,"forest","urban"
"Open_SMO9",2024-06-22,37.5305555555556,25.7027777777778,43.2777777777778,94.45,38.1666666666667,26.2222222222222,45.1111111111111,95.4,32.6944444444444,24.4067901234568,37.1518518518519,53.88,22.7416666666667,22.05,24.2361111111111,36.945,"open","urban"
"Overlook_SMO6",2024-06-22,38.1666666666667,26,44.2527777777778,92.54,38.5555555555556,26.3888888888889,45.3888888888889,93.8,32.7864197530864,24.4018518518519,37.237037037037,53.2522222222222,23.0388888888889,22.1861111111111,24.5027777777778,36.745,"open","urban"
"Pool_SMP11",2024-06-22,33.2833333333333,25.7777777777778,39.3388888888889,96.755,33.8333333333333,26.1111111111111,39.7777777777778,97.3,29.3672839506173,24.5734567901235,33.9808641975309,69.6744444444444,22.1916666666667,21.8277777777778,23.4888888888889,52.445,"forest","urban"
"Classroom_SMC7",2024-06-23,33.1416666666667,24.95,38.45,78.765,33.5555555555556,25.3888888888889,39.5,80,30.1858024691358,23.9611111111111,34.0333333333333,60.9266666666667,25.3888888888889,22.7222222222222,27.2222222222222,50.2,"forest","urban"
"Open_SMO9",2024-06-23,35.2027777777778,24.7222222222222,39.9472222222222,73.74,36.0555555555556,25.1111111111111,41.3888888888889,75.1,31.7438271604938,23.7537037037037,35.3222222222222,52.9166666666667,26.2972222222222,22.6611111111111,28.3277777777778,41.735,"open","urban"
"Overlook_SMO6",2024-06-23,35.475,25.2222222222222,40.8861111111111,73.155,36.3333333333333,25.6111111111111,42.5,75.3,31.5685185185185,23.8685185185185,35.3240740740741,54.2077777777778,26.3583333333333,22.6611111111111,28.5,42.645,"open","urban"
"Pool_SMP11",2024-06-23,32.3083333333333,25.2777777777778,38.2527777777778,89.055,33.3888888888889,25.6111111111111,39.3888888888889,90.7,28.8777777777778,24.2512345679012,32.8703703703704,69.5622222222222,23.9138888888889,22.6,25.4888888888889,56.805,"forest","urban"
"Classroom_SMC7",2024-06-24,28.8888888888889,21.2527777777778,27.8888888888889,71.01,29.2222222222222,22,28.2777777777778,72.4,27.3691358024691,18.7197530864198,26.8259259259259,45.0033333333333,25.2722222222222,16.8277777777778,25.6611111111111,31.745,"forest","urban"
"Open_SMO9",2024-06-24,30.6472222222222,21,30.2527777777778,70.265,31.8888888888889,21.7777777777778,30.8888888888889,73.2,28.2512345679012,18.7993827160494,27.6641975308642,42.0555555555556,25.0555555555556,16.6111111111111,25.2777777777778,30.225,"open","urban"
"Overlook_SMO6",2024-06-24,32.5305555555556,21.2527777777778,31.8388888888889,72.52,32.7777777777778,21.8888888888889,32.5,75.6,29.0135802469136,19.337037037037,28.708024691358,42.0244444444444,25.025,16.7222222222222,25.3777777777778,28.05,"open","urban"
"Pool_SMP11",2024-06-24,28.8944444444444,21.5611111111111,28.1722222222222,79.01,29.2222222222222,22.1111111111111,28.6111111111111,80.3,26.8944444444444,19.116049382716,26.5901234567901,49.5755555555556,24.2777777777778,16.8888888888889,24.675,35.4,"forest","urban"
"Classroom_SMC7",2024-06-25,30.2527777777778,19.95,29.7222222222222,62.955,30.5555555555556,20.2222222222222,30.1111111111111,67,27.0611111111111,18.0641975308642,26.4006172839506,42.8966666666667,19.1111111111111,15.075,18.3277777777778,32.135,"forest","urban"
"Open_SMO9",2024-06-25,32.2527777777778,19.7777777777778,31.3388888888889,70,32.9444444444444,20,32.2777777777778,71.5,28.4345679012346,18.108024691358,27.5672839506173,38.5066666666667,18.4083333333333,14.9388888888889,17.6861111111111,26.545,"open","urban"
"Overlook_SMO6",2024-06-25,33.0055555555556,20,32.6027777777778,64.465,33.6111111111111,20.6111111111111,33.3888888888889,65.7,28.7981481481481,18.4222222222222,28.1240740740741,38.4122222222222,19.2111111111111,15.0638888888889,18.4888888888889,26.49,"open","urban"
"Pool_SMP11",2024-06-25,29.5861111111111,20.7527777777778,29.3388888888889,71.3,29.8888888888889,21.1111111111111,29.7777777777778,72.9,25.9314814814815,18.4956790123457,25.6438271604938,50.7855555555556,18.4138888888889,15.2361111111111,17.7472222222222,35.99,"forest","urban"
